setting_name,value_type,mobile_pickup,mobile_delivery,mobile_selfcheckout,mobile_quickpay,mobile_preorder_delivery,mobile_preorder_pickup,autonomous_jwo,autonomous_zippin,kiosk_belly_up,kiosk_order_pay_fulfill,pos_belly_up,pos_order_pay_fulfill,pos_wait_staff
selfcheckout_authorization_failed_description,string,,,"Hi #{first_name}, your order could not be completed. Please try submitting the order again.",,,,,,,,,,
selfcheckout_settlement_failed_display_name,string,,,We ran into an issue...,,,,,,,,,,
selfcheckout_settlement_failed_description,string,,,"Hi #{first_name}, your order payment could not be settled. Please try submitting the order again.",,,,,,,,,,
selfcheckout_cancelled_display_name,string,,,Your order has been cancelled.,,,,,,,,,,
selfcheckout_cancelled_description,string,,,"Hi #{first_name}, your order has been cancelled.",,,,,,,,,,
selfcheckout_delivered_without_alcohol_display_name,string,,,,,,,,,,,,,
selfcheckout_delivered_without_alcohol_description,string,,,,,,,,,,,,,
selfcheckout_refund_failed_display_name,string,,,Refund Attempted,,,,,,,,,,
selfcheckout_refund_failed_description,string,,,"Hi #{first_name}, we tried to refund your order but there was a problem. We will resolve this shortly.",,,,,,,,,,
selfcheckout_not_collected_display_name,string,,,,,,,,,,,,,
selfcheckout_not_collected_description,string,,,,,,,,,,,,,
pos_completion_pending_display_name,string,,,,,,,,,,,,,Completed!
pos_completion_pending_description,string,,,,,,,,,,,,,"Hi #{first_name}, your order has been completed successfully. Your payment will be processed shortly."
pos_tabbed_display_name,string,,,,,,,,,,,,,We are preparing your order!
pos_tabbed_description,string,,,,,,,,,,,,,"Hi #{first_name}, we are currently working on your order. We will update this page when your order is ready."
