account,type,name,ecosystem,env,region,organization,configured_version,stack_name,stack_status,update_behavior,version
vnon,ondevices,churchilldownssuites,levy,prd,us-east-1,chd,,vn-spa-instance-ondevices-churchilldownssuites,up,,v0.3.5
vnon,onboard,nationals,lyra,prd,us-east-1,nationals,,vn-spa-instance-onboard-nationals,up,,v1.0.2
vnon,ondevices,samissions,lyra,prd,us-east-1,samissions,,vn-spa-instance-ondevices-samissions,up,,v1.8.4
vnon,onsuitesmanager,byuconcessionsfs,ara,prd,us-east-1,byu,,vn-spa-instance-onsuitesmanager-byuconcessionsfs,up,,v1.7.3
vnon,ordering,citycenter,crux,prd,us-east-1,citycenter,,vn-spa-instance-ordering-citycenter,up,,v1.39.6
vnon,onloyalty,dhspemployee,ara,prd,us-east-1,dhsp,,vn-spa-instance-onloyalty-dhspemployee,up,,v1.4.5
vnon,onboard,searscentre,lyra,prd,us-east-1,searscentre,,vn-spa-instance-onboard-searscentre,up,,
vnon,onrefund,oaklandrootssc,ara,prd,us-east-1,oaklandrootssc,,vn-spa-instance-onrefund-oaklandrootssc,up,,v2.4.3
vnon,datanow,doi35,crux,prd,us-east-1,disneyonice,,vn-spa-instance-datanow-doi35,up,,v0.4.1
vnon,onstatus,targetcentersuites,levy,prd,us-east-1,twolv,,vn-spa-instance-onstatus-targetcentersuites,up,,v1.3.1
vnon,datanow,daytonasuites,levy,prd,us-east-1,dis,,vn-spa-instance-datanow-daytonasuites,up,,v0.4.1
vnon,onmenumanager,columbuscrew,lyra,prd,us-east-1,columbuscrew,,vn-spa-instance-onmenumanager-columbuscrew,up,,v2.19.2
vnon,onsuitesmanager,xcelsuites,levy,prd,us-east-1,wild,,vn-spa-instance-onsuitesmanager-xcelsuites,up,,v1.7.3
vnon,datanow,detroitlions,use1a,production,us-east-1,fordfield,,vn-spa-instance-datanow-detroitlions,up,,
vnon,oncanopy,bswa,crux,prd,us-east-1,bswa,,vn-spa-instance-oncanopy-bswa,up,,v0.1.0
vnon,onpos,dcusb,crux,prd,us-east-1,dcuni,,vn-spa-instance-onpos-dcusb,up,,v2.18.8-qs
vnon,onsuitesmanager,saengertheatre,crux,prd,us-east-1,baasaengertheatre,,vn-spa-instance-onsuitesmanager-saengertheatre,up,,v1.7.3
vnon,onmenumanager,chsfield,lyra,prd,us-east-1,chsfield,,vn-spa-instance-onmenumanager-chsfield,up,,v2.19.2
vnon,ordering,example,mars,qa,us-east-1,example,,vn-spa-instance-ordering-example-qa,up,,v1.37.4
vnon,ordering,choctawstadium,lyra,prd,us-east-1,choctawstadium,,vn-spa-instance-ordering-choctawstadium,up,,v1.39.6
vnon,onstatus,wavefc,ara,prd,us-east-1,sandiegostate,,vn-spa-instance-onstatus-wavefc,up,,v1.3.1
vnon,onrefund,barclayssuites,levy,prd,us-east-1,brook,,vn-spa-instance-onrefund-barclayssuites,up,,v0.1.0
vnon,onstatus,hastingspiergarden,draco,prd,us-east-1,hastingspiergarden,,vn-spa-instance-onstatus-hastingspiergarden,up,,v1.3.1
vnon,onrunner,inseatadvantage,usw2a,production,us-east-1,houstondynamo,,vn-spa-instance-onrunner-inseatadvantage,up,,v0.0.7
vnon,onstatus,camprandallsuites,levy,prd,us-east-1,uwm,,vn-spa-instance-onstatus-camprandallsuites,up,,v1.3.1
vnon,onrefund,tqlsuites,levy,prd,us-east-1,fccin,,vn-spa-instance-onrefund-tqlsuites,up,,v0.1.0
vnon,onpos,daytonasuites,levy,prd,us-east-1,dis,,vn-spa-instance-onpos-daytonasuites,up,,v1.19.8-ec
vnon,ordering,lanestadium,crux,prd,us-east-1,virginiatech,,vn-spa-instance-ordering-lanestadium,up,,v1.39.6
vnon,datanow,universal,universal,prd,us-east-1,universal,,vn-spa-instance-datanow-universal,up,,
vnon,onaccess,3mam,lyra,prd,us-east-1,universityofminnesota,,vn-spa-instance-onaccess-3mam,up,,v0.1.0
vnon,onrefund,europe,draco,prd,us-east-1,europe,,vn-spa-instance-onrefund-europe,up,,v2.4.3
vnon,oncanopy,nationalsparksuites,levy,prd,us-east-1,nats,,vn-spa-instance-oncanopy-nationalsparksuites,up,,v0.1.0
vnon,ordering,mashginqa,lyra,prd,us-east-1,mashginqa,,vn-spa-instance-ordering-mashginqa,up,,v1.39.6
vnon,ondevices,nrgstadium,lyra,prd,us-east-1,houstontexans,,vn-spa-instance-ondevices-nrgstadium,up,,v1.8.4
vnon,onmenumanager,tucsonroadrunners,ara,prd,us-east-1,tucsonroadrunners,,vn-spa-instance-onmenumanager-tucsonroadrunners,up,,v2.19.2
vnon,onstatus,tamubaseballsuites,levy,prd,us-east-1,tamus,,vn-spa-instance-onstatus-tamubaseballsuites,up,,v1.3.1
vnon,onrefund,unitedcenter,lyra,prd,us-east-1,chicagobulls,,vn-spa-instance-onrefund-unitedcenter,up,,v2.4.3
vnon,onboard,bankofamericasuites,levy,prd,us-east-1,panth,,vn-spa-instance-onboard-bankofamericasuites,up,,v1.0.2
vnon,onsuitesmanager,miswsuites,levy,prd,us-east-1,misw,,vn-spa-instance-onsuitesmanager-miswsuites,up,,v1.7.3
vnon,onsuitesmanager,alfredarena,mars,qa,us-east-1,alfredarena,,vn-spa-instance-onsuitesmanager-alfredarena-qa,up,,
vnon,ordering,plainsmanpark,crux,prd,us-east-1,auburnuniversity,,vn-spa-instance-ordering-plainsmanpark,up,,v1.39.6
vnon,onstatus,oregonstate,ara,prd,us-east-1,oregonstate,,vn-spa-instance-onstatus-oregonstate,up,,v1.3.1
vnon,datanow,targetcentersuites,levy,prd,us-east-1,twolv,,vn-spa-instance-datanow-targetcentersuites,up,,v0.4.1
vnon,onstatus,marlinsparksuites,levy,prd,us-east-1,mrln,,vn-spa-instance-onstatus-marlinsparksuites,up,,v1.3.1
vnon,onstatus,buffsuites,levy,prd,us-east-1,buff,,vn-spa-instance-onstatus-buffsuites,up,,v1.3.1
vnon,onsuitesmanager,indianwellssuites,levy,prd,us-east-1,palms,,vn-spa-instance-onsuitesmanager-indianwellssuites,up,,v1.7.3
vnon,onstatus,unitedcenter,lyra,prd,us-east-1,chicagobulls,,vn-spa-instance-onstatus-unitedcenter,up,,v1.3.1
vnon,ordering,olympicsportsvenues,lyra,prd,us-east-1,ohiostate,,vn-spa-instance-ordering-olympicsportsvenues,up,,v1.39.6
