account,type,name,ecosystem,env,region,organization,configured_version,stack_name,stack_status,update_behavior,version
vnon,onpos,olympicsportsvenues,lyra,prd,us-east-1,ohiostate,,vn-spa-instance-onpos-olympicsportsvenues,up,,v2.25.11-qs
vnon,onrunner,nowarena,lyra,prd,us-east-1,searscentre,,vn-spa-instance-onrunner-nowarena,up,,v0.1.1
vnon,onpos,usopenmerch,crux,prd,us-east-1,usopenmobile,,vn-spa-instance-onpos-usopenmerch,up,,v2.25.11-qs
vnon,datanow,nationalbankopen,crux,prd,us-east-1,marigoldsandonions,,vn-spa-instance-datanow-nationalbankopen,up,,v1.1.0
vnon,onsuitesmanager,orioleparksuites,levy,prd,us-east-1,oriol,,vn-spa-instance-onsuitesmanager-orioleparksuites,up,,v1.7.7
vnon,onstatus,roguespoonsjc,ara,prd,us-east-1,roguespoon,,vn-spa-instance-onstatus-roguespoonsjc,up,,v2.3.0
vnon,onsuitesmanager,nascsuites,levy,prd,us-east-1,nasc,,vn-spa-instance-onsuitesmanager-nascsuites,up,,v1.7.7
vnon,onpos,opcy,crux,prd,us-east-1,opcy,,vn-spa-instance-onpos-opcy,up,,v2.25.11-qs
vnon,onrunner,bluejays,lyra,prd,us-east-1,torbluejays,,vn-spa-instance-onrunner-bluejays,up,,v0.1.1
vnon,onpos,opcyfs,crux,prd,us-east-1,opcy,,vn-spa-instance-onpos-opcyfs,up,,
vnon,datanow,tmobilecentersuites,levy,prd,us-east-1,sprnt,,vn-spa-instance-datanow-tmobilecentersuites,up,,
vnon,onmenumanager,gainbridgesuites,levy,prd,us-east-1,indy,,vn-spa-instance-onmenumanager-gainbridgesuites,up,,v2.22.8
vnon,ordering,tms,lyra,prd,us-east-1,tms,,vn-spa-instance-ordering-tms,up,,v1.45.0
vnon,ondevices,artsquestfestivals,crux,prd,us-east-1,artsquest,,vn-spa-instance-ondevices-artsquestfestivals,up,,v1.9.0
vnon,oncanopy,tmssuites,levy,prd,us-east-1,tms,,vn-spa-instance-oncanopy-tmssuites,up,,v0.1.0
vnon,ondevices,tmobilearenasuites,levy,prd,us-east-1,lva,,vn-spa-instance-ondevices-tmobilearenasuites,up,,v1.9.0
vnon,onstatus,coloniallifearena,crux,prd,us-east-1,southcarolina,,vn-spa-instance-onstatus-coloniallifearena,up,,v2.3.0
vnon,onstatus,microsofttheater,ara,prd,us-east-1,microsofttheater,,vn-spa-instance-onstatus-microsofttheater,up,,v2.3.0
vnon,oncanopy,razorfbsuites,levy,prd,us-east-1,razor,,vn-spa-instance-oncanopy-razorfbsuites,up,,v0.1.0
vnon,ordering,samissions,lyra,prd,us-east-1,samissions,,vn-spa-instance-ordering-samissions,up,,v1.45.0
vnon,onrefund,browardcenter,crux,prd,us-east-1,baabrowardcenter,,vn-spa-instance-onrefund-browardcenter,up,,v2.5.0
vnon,onsuitesmanager,targetcentersuites,levy,prd,us-east-1,twolv,,vn-spa-instance-onsuitesmanager-targetcentersuites,up,,v1.7.7
vnon,onsuitesmanager,cryptoarenasuites,levy,prd,us-east-1,lasc,,vn-spa-instance-onsuitesmanager-cryptoarenasuites,up,,v1.7.7
vnon,onboard,rmfh,lyra,prd,us-east-1,rocketmortgage,,vn-spa-instance-onboard-rmfh,up,,v1.0.2
vnon,onpos,jazzfs,ara,prd,us-east-1,utahjazz,,vn-spa-instance-onpos-jazzfs,up,,
vnon,onrunner,dignityhealthsuites,levy,prd,us-east-1,hdc,,vn-spa-instance-onrunner-dignityhealthsuites,up,,v0.1.1
vnon,onrefund,amwaysuites,levy,prd,us-east-1,orena,,vn-spa-instance-onrefund-amwaysuites,up,,v2.4.11
vnon,onrunner,arena,mars,qa,us-east-1,arena,,vn-spa-instance-onrunner-arena-qa,up,,v0.1.1
vnon,ordering,mudcats,crux,prd,us-east-1,carolinamudcats,,vn-spa-instance-ordering-mudcats,up,,v1.45.0
vnon,onrunner,slbees,ara,prd,us-east-1,saltlakebees,,vn-spa-instance-onrunner-slbees,up,,v0.0.7
